outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Cocaine Use in the Past Year,26 or Older,2004-06,"Washington King",0.0206963847,0.012495572,0.0340935509
Cocaine Use in the Past Year,12 or Older,2004-06,"Washington North Sound",0.0244120344,0.0169437744,0.0350546779
Cocaine Use in the Past Year,12 to 17,2004-06,"Washington North Sound",0.0179572695,0.0101771979,0.0314956546
Cocaine Use in the Past Year,18 or Older,2004-06,"Washington North Sound",0.0251638152,0.0170942442,0.0368997285
Cocaine Use in the Past Year,18 to 25,2004-06,"Washington North Sound",0.0902887964,0.0609852306,0.1316980038
Cocaine Use in the Past Year,26 or Older,2004-06,"Washington North Sound",0.0139751705,0.0078649303,0.0247141886
Cocaine Use in the Past Year,12 or Older,2004-06,"Washington East 1 (previously Region 1)",0.0230719195,0.0161748505,0.032811862
Cocaine Use in the Past Year,12 to 17,2004-06,"Washington East 1 (previously Region 1)",0.0186094642,0.010601958,0.0324664645
Cocaine Use in the Past Year,18 or Older,2004-06,"Washington East 1 (previously Region 1)",0.0236323582,0.0161277293,0.0345066
Cocaine Use in the Past Year,18 to 25,2004-06,"Washington East 1 (previously Region 1)",0.0788068178,0.0523182494,0.1170500377
Cocaine Use in the Past Year,26 or Older,2004-06,"Washington East 1 (previously Region 1)",0.0131578224,0.0075493518,0.0228369923
Cocaine Use in the Past Year,12 or Older,2004-06,"Washington East 2 (previously Region 2)",0.0259071096,0.017966686,0.0372238049
Cocaine Use in the Past Year,12 to 17,2004-06,"Washington East 2 (previously Region 2)",0.0172970788,0.0098263638,0.030273918
Cocaine Use in the Past Year,18 or Older,2004-06,"Washington East 2 (previously Region 2)",0.0270703974,0.0184437892,0.0395692229
Cocaine Use in the Past Year,18 to 25,2004-06,"Washington East 2 (previously Region 2)",0.0954598559,0.0629944676,0.1421191426
Cocaine Use in the Past Year,26 or Older,2004-06,"Washington East 2 (previously Region 2)",0.0142232566,0.008015562,0.0251168064
Cocaine Use in the Past Year,12 or Older,2004-06,"Washington West 1 (previously Region 5)",0.0215546801,0.0150203858,0.0308425676
Cocaine Use in the Past Year,12 to 17,2004-06,"Washington West 1 (previously Region 5)",0.0157992984,0.0090929636,0.0273154118
Cocaine Use in the Past Year,18 or Older,2004-06,"Washington West 1 (previously Region 5)",0.0222514171,0.0151125921,0.032650657
Cocaine Use in the Past Year,18 to 25,2004-06,"Washington West 1 (previously Region 5)",0.072953561,0.0485301666,0.108269665
Cocaine Use in the Past Year,26 or Older,2004-06,"Washington West 1 (previously Region 5)",0.0132250942,0.0075158124,0.0231701032
Cocaine Use in the Past Year,12 or Older,2004-06,"Washington West 2 (previously Region 6)",0.021947803,0.0153312215,0.0313290851
Cocaine Use in the Past Year,12 to 17,2004-06,"Washington West 2 (previously Region 6)",0.0162770308,0.0092378323,0.0285256422
Cocaine Use in the Past Year,18 or Older,2004-06,"Washington West 2 (previously Region 6)",0.0226016828,0.0154148173,0.0330268906
Cocaine Use in the Past Year,18 to 25,2004-06,"Washington West 2 (previously Region 6)",0.0854557488,0.0585932912,0.1230240945
Cocaine Use in the Past Year,26 or Older,2004-06,"Washington West 2 (previously Region 6)",0.0130827012,0.0073577923,0.0231580946
Cocaine Use in the Past Year,12 or Older,2004-06,"West Virginia",0.0276466374,0.022763719,0.0335410141
Cocaine Use in the Past Year,12 to 17,2004-06,"West Virginia",0.0202299675,0.0148023881,0.0275919364
Cocaine Use in the Past Year,18 or Older,2004-06,"West Virginia",0.0283598228,0.023097957,0.034777703
Cocaine Use in the Past Year,18 to 25,2004-06,"West Virginia",0.1028735189,0.0857035199,0.123020545
Cocaine Use in the Past Year,26 or Older,2004-06,"West Virginia",0.0168303542,0.0120399303,0.0234814812
Cocaine Use in the Past Year,12 or Older,2004-06,"West Virginia Region I",0.0227673118,0.015001175,0.0344135242
